"report-drag-rfile"
"Iteration" "report-drag"
("Iteration" "report-drag")
10117 0.08900823
10118 0.08900818
10119 0.0890082
10120 0.08900815
10121 0.08900815
10122 0.0890081
10123 0.0890081
10124 0.08900814
10125 0.08900808
10126 0.08900813
10127 0.08900813
10128 0.08900815
10129 0.08900815
10130 0.0890082
10131 0.08900817
10132 0.08900814
10133 0.08900812
10134 0.08900808
10135 0.08900808
10136 0.08900813
10137 0.08900805
10138 0.08900802
10139 0.08900808
10140 0.08900804
10141 0.08900806
10142 0.089008
10143 0.08900799
10144 0.08900799
10145 0.08900797
10146 0.08900796
10147 0.08900798
10148 0.08900795
10149 0.08900797
10150 0.08900795
10151 0.08900792
10152 0.0890079
10153 0.08900788
10154 0.08900783
10155 0.08900786
10156 0.08900782
10157 0.08900779
10158 0.08900779
10159 0.08900773
10160 0.08900771
10161 0.08900771
10162 0.08900773
10163 0.08900771
10164 0.08900772
10165 0.08900773
10166 0.0890077
10167 0.08900775
10168 0.08900775
10169 0.0890077
10170 0.0890077
