"report-mom-rfile"
"Iteration" "report-mom"
("Iteration" "report-mom")
10117 0.4857487
10118 0.4857486
10119 0.4857486
10120 0.4857486
10121 0.4857486
10122 0.4857485
10123 0.4857485
10124 0.4857486
10125 0.4857486
10126 0.4857486
10127 0.4857485
10128 0.4857485
10129 0.4857485
10130 0.4857486
10131 0.4857488
10132 0.4857489
10133 0.4857489
10134 0.4857488
10135 0.4857488
10136 0.4857487
10137 0.4857488
10138 0.4857488
10139 0.4857487
10140 0.4857487
10141 0.4857487
10142 0.4857487
10143 0.4857487
10144 0.4857487
10145 0.4857488
10146 0.4857489
10147 0.4857489
10148 0.4857489
10149 0.4857489
10150 0.4857489
10151 0.4857489
10152 0.4857489
10153 0.4857489
10154 0.4857489
10155 0.4857488
10156 0.4857488
10157 0.4857488
10158 0.4857488
10159 0.4857488
10160 0.4857488
10161 0.4857488
10162 0.4857488
10163 0.4857488
10164 0.485749
10165 0.4857489
10166 0.4857489
10167 0.4857489
10168 0.485749
10169 0.485749
10170 0.485749
